type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Cardiff Station, Platform 2",-32.94149818,151.6627617,Intercity Trains Network,2
Train,"Caringbah Station, Platform 1",-34.04160095,151.1221567,Sydney Trains Network,2
Train,"Caringbah Station, Platform 2",-34.04153761,151.1221644,Sydney Trains Network,2
Train,"Carlton Station, Platform 1",-33.9681595,151.1243028,Sydney Trains Network,2
Train,"Carlton Station, Platform 2",-33.96823973,151.1243284,Sydney Trains Network,2
Train,"Carlton Station, Platform 3",-33.96831997,151.1243539,Sydney Trains Network,2
Train,"Carlton Station, Platform 4",-33.9684002,151.1243794,Sydney Trains Network,2
Train,"Carramar Station, Platform 1",-33.88445505,150.9608865,Sydney Trains Network,2
Train,"Carramar Station, Platform 2",-33.88449969,150.9608993,Sydney Trains Network,2
Train,"Casula Station, Platform 1",-33.95028457,150.9117674,Sydney Trains Network,2
Train,"Casula Station, Platform 2",-33.95017247,150.911892,Sydney Trains Network,2
Train,"Central Station, Platform 1",-33.88316452,151.2055235,Intercity Trains Network,2
Train,"Central Station, Platform 1",-33.88316452,151.2055235,Sydney Trains Network,2
Train,"Central Station, Platform 10",-33.88362257,151.2063562,Intercity Trains Network,2
Train,"Central Station, Platform 10",-33.88362257,151.2063562,Sydney Trains Network,2
Train,"Central Station, Platform 11",-33.88366496,151.2064339,Intercity Trains Network,2
Train,"Central Station, Platform 11",-33.88366496,151.2064339,Sydney Trains Network,2
Train,"Central Station, Platform 12",-33.88371561,151.2065336,Intercity Trains Network,2
Train,"Central Station, Platform 12",-33.88371561,151.2065336,Sydney Trains Network,2
Train,"Central Station, Platform 13",-33.883758,151.2066113,Intercity Trains Network,2
Train,"Central Station, Platform 13",-33.883758,151.2066113,Sydney Trains Network,2
Train,"Central Station, Platform 16",-33.8839665,151.2068376,Intercity Trains Network,2
Train,"Central Station, Platform 16",-33.8839665,151.2068376,Sydney Trains Network,2
