type,stop_name,stop_lat,stop_lon,route_desc,route_type,route_color
Train,"Casula Station, Platform 1",-33.950284566501,150.911767422064,Sydney Trains Network,2,C4258F
Train,"Casula Station, Platform 2",-33.9501724680494,150.911892038373,Sydney Trains Network,2,0098CD
Train,"Casula Station, Platform 2",-33.9501724680494,150.911892038373,Sydney Trains Network,2,C4258F
Light Rail,Central Chalmers Street Light Rail,-33.8842518037219,151.207715870593,Sydney Light Rail Network,900,DD1E25
Light Rail,Central Chalmers Street Light Rail,-33.8842518037219,151.207715870593,Sydney Light Rail Network,900,EE343F
Light Rail,Central Chalmers Street Light Rail,-33.8842262953731,151.20767140456,Sydney Light Rail Network,900,781140
Light Rail,Central Chalmers Street Light Rail,-33.8842262953731,151.20767140456,Sydney Light Rail Network,900,DD1E25
Light Rail,Central Chalmers Street Light Rail,-33.8841925301676,151.207604926734,Sydney Light Rail Network,900,781140
Light Rail,Central Chalmers Street Light Rail,-33.8841925301676,151.207604926734,Sydney Light Rail Network,900,DD1E25
Light Rail,Central Grand Concourse Light Rail,-33.8824219920822,151.206686052586,Sydney Light Rail Network,900,BE1622
Train,"Central Station, Platform 1",-33.8831645158386,151.205523453953,Intercity Trains Network,2,00954C
Train,"Central Station, Platform 1",-33.8831645158386,151.205523453953,Intercity Trains Network,2,D11F2F
Train,"Central Station, Platform 1",-33.8831645158386,151.205523453953,Intercity Trains Network,2,F99D1C
Train,"Central Station, Platform 1",-33.8831645158386,151.205523453953,Sydney Trains Network,2,005AA3
Train,"Central Station, Platform 1",-33.8831645158386,151.205523453953,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 10",-33.8836225725785,151.206356179915,Intercity Trains Network,2,D11F2F
Train,"Central Station, Platform 10",-33.8836225725785,151.206356179915,Intercity Trains Network,2,F99D1C
Train,"Central Station, Platform 10",-33.8836225725785,151.206356179915,Sydney Trains Network,2,0098CD
Train,"Central Station, Platform 10",-33.8836225725785,151.206356179915,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 11",-33.8836649644282,151.206433883754,Intercity Trains Network,2,005AA3
Train,"Central Station, Platform 11",-33.8836649644282,151.206433883754,Intercity Trains Network,2,D11F2F
Train,"Central Station, Platform 11",-33.8836649644282,151.206433883754,Intercity Trains Network,2,F99D1C
Train,"Central Station, Platform 11",-33.8836649644282,151.206433883754,Sydney Trains Network,2,D11F2F
Train,"Central Station, Platform 12",-33.8837156132751,151.206533599271,Intercity Trains Network,2,F99D1C
