address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size
"E518/1 Broughton Street, Parramatta NSW 2150",682888,12/08/2024,apartment,2,2,1,
"833/2 Morton Street, Parramatta NSW 2150",675000,12/08/2024,unit,2,2,1,
"2/26 Tennyson Street, Parramatta NSW 2150",555000,12/08/2024,apartment,2,1,1,
"171 George Street, Parramatta NSW 2150",3502000,11/08/2024,house,3,1,1,1060 m2
"2506/45 Macquarie Street, Parramatta NSW 2150",1150000,9/08/2024,apartment,3,2,2,
"58/22-32 Great Western Highway, Parramatta NSW 2150",262000,9/08/2024,apartment,1,1,1,
"403/2-4 Amos Street, Parramatta NSW 2150",670000,9/08/2024,apartment,2,2,2,
"17/1 Sorrell Street, Parramatta NSW 2150",732500,8/08/2024,unit,2,2,1,
"1701/11 Hassall Street, Parramatta NSW 2150",725000,8/08/2024,apartment,2,2,1,
"3/12 Early Street, Parramatta NSW 2150",480000,7/08/2024,unit,2,1,1,
"24/4 Peace Lane, Parramatta NSW 2150",520000,7/08/2024,apartment,2,2,1,
"3205/330 Church Street, Parramatta NSW 2150",795000,6/08/2024,unit,2,2,1,
"5/57 Victoria Road, Parramatta NSW 2150",1242000,4/08/2024,townhouse,3,3,2,
"29 Morton Street, Parramatta NSW 2150",1676000,3/08/2024,house,4,2,2,455 m2
"832/2K Morton Street, Parramatta NSW 2150",640000,3/08/2024,apartment,2,2,1,
"23/68 Macarthur Street, Parramatta NSW 2150",690000,2/08/2024,unit,3,2,1,
"726/45 Macquarie St, Parramatta NSW 2150",400000,2/08/2024,studio,1,1,,
"66/20 Victoria Road, Parramatta NSW 2150",760000,2/08/2024,apartment,3,2,1,
"1/14 Pemberton Street, Parramatta NSW 2150",1078888,,townhouse,4,2,2,
"307C/3 Broughton Street, Parramatta NSW 2150",630000,,apartment,2,2,1,
"46/9-11 Cowper Street, Parramatta NSW 2150",482000,,apartment,1,1,1,
"829/30 Charles Street, Parramatta NSW 2150",802000,31/07/2024,unit,2,2,1,
"2006/1A Morton Street, Parramatta NSW 2150",630000,31/07/2024,apartment,2,2,1,
"126/3 Sorrell Street, Parramatta NSW 2150",760000,30/07/2024,apartment,2,2,1,
"1/24 Rosehill Street, Parramatta NSW 2150",460000,30/07/2024,apartment,1,1,1,
"23/4 Peace Lane, Parramatta NSW 2150",510000,30/07/2024,apartment,2,1,1,
"1708/12 Phillip Street, Parramatta NSW 2150",591000,30/07/2024,apartment,1,1,1,
"262/109-113 George Street, Parramatta NSW 2150",638000,30/07/2024,apartment,2,2,1,98 m2
"15/91 Great Western Highway, Parramatta NSW 2150",440000,30/07/2024,unit,2,1,1,
"51/35 Campbell Street, Parramatta NSW 2150",510000,29/07/2024,apartment,2,1,1,
"701C/3 Broughton Street, Parramatta NSW 2150",510000,27/07/2024,apartment,1,1,1,
"41/68 Macarthur Street, Parramatta NSW 2150",755000,27/07/2024,unit,3,2,2,
"247/109-113 George Street, Parramatta NSW 2150",605000,27/07/2024,apartment,2,2,1,
"150/22-32 Great Western Highway, Parramatta NSW 2150",261000,27/07/2024,apartment,1,1,1,
"1405/6-10 Charles Street, Parramatta NSW 2150",570000,26/07/2024,apartment,2,2,1,
"3403/330 Church Street, Parramatta NSW 2150",1105000,25/07/2024,apartment,3,2,2,
