lganame,councilnam,suburbname,postcode,percentage,,,,LGA_WRONG,,FIX,LGA_NEIGHBOR_WRONG
BALLINA,BALLINA SHIRE COUNCIL,LYNWOOD,2477,100,,,,NAMBUCCA VALLEY,,,"ARMIDALE REGIONAL, BELLINGEN, KEMPSEY, NAMBUCCA VALLEY"
BALLINA,BALLINA SHIRE COUNCIL,MAROM CREEK,2480,8.742880881,,,,NARRABRI,,,"COONAMBLE, GUNNEDAH, GWYDIR, MOREE PLAINS, NARRABRI, TAMWORTH REGIONAL, WALGETT, WARRUMBUNGLE"
BALLINA,BALLINA SHIRE COUNCIL,MCLEANS RIDGES,2480,30.26093964,,,,NARRANDERA,,,"BLAND, CARRATHOOL, COOLAMON, FEDERATION, GRIFFITH, LEETON, LOCKHART, MURRUMBIDGEE, NARRANDERA, WAGGA WAGGA"
BALLINA,BALLINA SHIRE COUNCIL,MEERSCHAUM VALE,2477,100,,,,NARROMINE,,,"CABONNE, DUBBO REGIONAL, GILGANDRA, LACHLAN, NARROMINE, PARKES, WARREN"
BALLINA,BALLINA SHIRE COUNCIL,NEWRYBAR,2479,94.50600139,,,,NEWCASTLE,,,"CESSNOCK, LAKE MACQUARIE, MAITLAND, NEWCASTLE, PORT STEPHENS"
BALLINA,BALLINA SHIRE COUNCIL,PATCHS BEACH,2478,100,,,,NORTH SYDNEY,,,"LANE COVE, MOSMAN, NORTH SYDNEY, WILLOUGHBY"
BALLINA,BALLINA SHIRE COUNCIL,PEARCES CREEK,2477,63.04952481,,,,NORTHERN BEACHES,,,"KU-RING-GAI, NORTHERN BEACHES"
BALLINA,BALLINA SHIRE COUNCIL,PIMLICO,2478,100,,,,OBERON,,,"BATHURST REGIONAL, BLUE MOUNTAINS, LITHGOW CITY, OBERON, UPPER LACHLAN SHIRE, WOLLONDILLY"
BALLINA,BALLINA SHIRE COUNCIL,PIMLICO ISLAND,2478,100,,,,ORANGE,,,"BLAYNEY, CABONNE, ORANGE"
BALLINA,BALLINA SHIRE COUNCIL,ROUS,2477,100,,,,PARKES,,,"CABONNE, FORBES, LACHLAN, NARROMINE, PARKES"
BALLINA,BALLINA SHIRE COUNCIL,ROUS MILL,2477,100,,,,CITY OF PARRAMATTA,,CITY OF PARRAMATTA,"BLACKTOWN, CANADA BAY, CUMBERLAND, HORNSBY, CITY OF PARRAMATTA, RYDE, STRATHFIELD, THE HILLS SHIRE"
BALLINA,BALLINA SHIRE COUNCIL,SKENNARS HEAD,2478,100,,,,PENRITH,,,"BLACKTOWN, BLUE MOUNTAINS, FAIRFIELD, HAWKESBURY, LIVERPOOL, PENRITH, WOLLONDILLY"
BALLINA,BALLINA SHIRE COUNCIL,SOUTH BALLINA,2478,100,,,,PORT MACQUARIE-HASTINGS,,,"KEMPSEY, MID-COAST, PORT MACQUARIE-HASTINGS, WALCHA"
BALLINA,BALLINA SHIRE COUNCIL,TEVEN,2478,100,,,,PORT STEPHENS,,,"DUNGOG, MAITLAND, MID-COAST, NEWCASTLE, PORT STEPHENS"
BALLINA,BALLINA SHIRE COUNCIL,TINTENBAR,2478,100,,,,QUEANBEYAN-PALERANG REGIONAL REGIONAL,,,"EUROBODALLA, GOULBURN MULWAREE, QUEANBEYAN-PALERANG REGIONAL, SHOALHAVEN, SNOWY MONARO REGIONAL, UPPER LACHLAN SHIRE, YASS VALLEY"
BALLINA,BALLINA SHIRE COUNCIL,TUCKOMBIL,2477,100,,,,RANDWICK,,,"BAYSIDE (NSW), RANDWICK, SYDNEY, WAVERLEY, WOOLLAHRA"
BALLINA,BALLINA SHIRE COUNCIL,URALBA,2477,100,,,,RICHMOND VALLEY,,,"BALLINA, CLARENCE VALLEY, KYOGLE, LISMORE, RICHMOND VALLEY"
BALLINA,BALLINA SHIRE COUNCIL,WARDELL,2477,100,,,,RYDE,,,"HORNSBY, HUNTERS HILL, KU-RING-GAI, CITY OF PARRAMATTA, RYDE, WILLOUGHBY"
BALLINA,BALLINA SHIRE COUNCIL,WEST BALLINA,2478,100,,,,SHELLHARBOUR,,,"KIAMA, SHELLHARBOUR, WINGECARRIBEE, WOLLONGONG"
